year,month,height,weight,prize_money,dominant_hand,backhand,forehand
1974,10,,,104129.0,,,
1982,1,1.524,,338622.0,right,,
1987,9,1.87,,101223.0,right,double,
1989,3,1.96,,116419.0,right,,
1987,7,1.8,,51365.0,right,double,
1980,7,1.68,59000.0,722547.0,right,double,
1996,8,1.85,,54995.0,,,
1984,12,,,94505.0,right,double,
1973,9,,,92509.0,right,,
1991,11,2.03,,275356.0,right,single,
1975,6,1.8,,7673478.0,right,single,
1980,11,1.75,,5651484.0,right,single,
1973,11,1.88,,2972441.0,right,double,
1988,1,1.88,,2478401.0,left,double,
1980,4,1.65,,1215900.0,right,single,
1973,6,1.72,,4676187.0,right,,
1984,3,,,126204.0,right,,
1969,5,1.8,,1543120.0,right,single,
1978,8,1.75,,3840885.0,right,single,
1962,8,1.75,,200221.0,right,,
1992,5,1.62,,34779.0,right,double,
1987,12,1.93,84000.0,183342.0,right,double,
1994,7,,,1006.0,,,
1969,2,1.75,,143267.0,right,,
1983,11,1.85,,3006954.0,left,double,
1960,2,1.8,,151882.0,right,,
1989,2,1.9,83000.0,900406.0,right,double,
1991,8,1.88,,8181.0,right,double,
1970,7,1.83,,149180.0,right,,
1971,1,1.9,,618346.0,right,,
1987,2,1.93,,689591.0,right,double,
1993,3,1.67,,840118.0,right,double,
1977,12,,,278504.0,right,,
1998,4,,,3203.0,,,
1987,9,1.75,60000.0,1936158.0,right,double,
1992,2,,,101308.0,right,double,
1975,11,1.75,,236165.0,,,
1990,5,1.8,,249014.0,left,double,
1979,2,1.85,,156925.0,left,,
1963,8,1.75,,120206.0,right,,
1977,8,1.85,,812621.0,left,,
1966,2,1.88,,1024171.0,right,,
1984,5,1.83,74000.0,695395.0,left,single,
1983,4,1.78,70000.0,1946779.0,right,double,
1993,1,,,158811.0,left,double,
1999,2,,,5776.0,right,double,
1978,12,,72576.0,281041.0,right,,
1987,2,1.83,,862862.0,right,double,
1990,5,1.524,,12616.0,right,,
1970,7,1.85,88000.0,3535415.0,right,single,
1971,3,1.9304,,135419.0,right,,
1974,12,1.87,,698887.0,right,single,
1963,7,,73483.2,25847.0,,,
1989,9,1.8796,66000.0,722310.0,right,double,
1985,10,1.82,,764313.0,right,double,
1990,7,,,54860.0,left,,
1965,4,1.88,,830234.0,right,,
1980,6,1.82,76000.0,3324463.0,right,single,
1976,11,2.01,,976038.0,right,double,
1987,6,1.93,80000.0,94785.0,left,,
1990,4,1.8288,,47254.0,right,double,
1980,11,1.8,,238264.0,right,,
1986,3,1.85,,195456.0,right,,
1967,3,1.88,,3362786.0,left,double,
1990,4,,,97106.0,right,double,
1975,3,1.87,,1339987.0,right,single,
1997,4,1.98,,679009.0,right,double,
1988,11,1.8,,5433956.0,right,double,
1990,5,1.7,56000.0,732372.0,right,double,
1989,5,1.72,,1920164.0,right,double,
1973,11,1.76,,1608170.0,right,double,
1992,12,,,11068.0,,,
1988,2,1.8,,140025.0,right,double,
1993,9,1.65,,42721.0,right,single,
1989,3,1.79,,1036626.0,right,double,
1991,7,,,7754.0,right,double,
1980,12,1.85,,1430348.0,right,single,
1988,2,1.85,77000.0,402454.0,right,double,
1979,7,1.87,,394788.0,right,,
1980,8,1.91,,140988.0,right,,
1992,10,,,48917.0,right,double,
1983,3,,,30625.0,right,double,
1974,9,1.86,,29345.0,right,,
1987,9,,,170554.0,,,
1994,3,1.74,,446948.0,,,
1986,9,,,72711.0,right,double,
1978,4,1.73,,217781.0,right,double,
1995,9,,,40155.0,,,
1981,1,1.524,,3185805.0,right,single,
1985,12,1.66,,921944.0,right,double,
1977,1,1.68,,1128467.0,right,double,
1979,10,,,14958.0,right,,
1997,11,,,11318.0,right,double,
1989,7,1.81,72000.0,2475138.0,right,double,
1990,1,1.69,,108462.0,right,double,
1990,7,1.75,,1655286.0,right,double,
1994,3,1.79,,1025154.0,right,double,
1993,3,,,33599.0,right,double,
1990,1,1.73,,4524237.0,right,double,
1990,7,1.73,,272850.0,right,double,
1980,3,1.72,,59481.0,,,
1989,7,1.83,,1222526.0,right,double,
1987,11,1.78,,2716496.0,right,double,
1995,6,,,151395.0,,,
1991,4,,,74754.0,,,
1980,11,1.8,,168068.0,right,double,
1984,8,1.68,,2652437.0,right,double,
1989,7,,,37143.0,,,
1997,1,1.74,,4654.0,left,double,
1980,4,,,298154.0,right,,
1992,5,1.7,,53475.0,right,double,
1994,6,1.65,,2616.0,right,double,
1965,5,,,25580.0,,,
1990,5,,,93549.0,right,double,
1971,10,1.58,54000.0,5594821.0,right,double,
1989,11,,,60252.0,right,single,
1986,12,,,56351.0,,,
1976,2,1.67,,331012.0,right,,
1993,1,1.64,,277516.0,,,
1984,7,1.7,,112326.0,right,double,
1982,6,1.96,,935.0,right,single,
1988,2,1.8,,556771.0,right,double,
1988,11,,,70290.0,right,double,
1973,2,1.85,,1590813.0,right,single,
1980,1,,,14595.0,right,,
1982,11,1.76,61000.0,1974968.0,right,double,double
1990,12,1.8,,890863.0,left,double,
1971,12,1.69,,1.694264E7,right,double,
1991,7,1.7,,58643.0,right,double,
1987,3,1.65,,2805748.0,right,double,
1989,11,1.82,,46301.0,right,double,
1997,1,,,10321.0,right,double,
1989,12,1.68,,608019.0,right,double,
1985,3,,,193859.0,left,double,
1969,4,1.83,,3031247.0,right,single,
1977,12,1.72,72000.0,7125228.0,right,double,
1979,2,1.85,,1162796.0,right,single,
1971,1,1.88,,392142.0,right,,
1980,1,,,95261.0,right,,
1986,2,1.81,,359752.0,right,double,
1988,2,,,68170.0,,,
1943,7,1.8796,,1584909.0,right,single,
1992,3,1.8288,,119020.0,right,double,
