year,month,height,weight,prize_money,dominant_hand,backhand,forehand
1973,3,1.8542,81648.0,4016496.0,right,double,
1989,1,,,150643.0,right,double,
1971,2,1.78,,3063257.0,left,double,
1985,8,,,86727.0,right,double,
1980,5,1.8288,,126338.0,right,,
1992,3,,,78145.0,left,double,
1978,4,1.83,,1451767.0,right,single,
1969,6,1.93,84000.0,5238401.0,right,double,
1973,6,1.9,86000.0,309193.0,right,,
1965,2,1.75,,162135.0,right,,
1976,11,1.82,70000.0,774033.0,right,double,
1972,8,1.87,,2935323.0,right,double,
1990,7,,,65915.0,,,
1996,11,,,25396.0,,,
1983,1,,,5250.0,,,
1990,5,1.78,,46074.0,right,double,double
1984,12,,,64960.0,right,double,
1996,4,,,25441.0,right,double,
1978,4,,,165647.0,right,,
1986,3,1.7,,65912.0,right,double,
1993,8,,,57974.0,right,double,
1979,3,1.88,,223998.0,left,,
1981,8,1.83,72000.0,1023310.0,left,double,
1986,9,1.88,,4214904.0,right,double,
1992,8,1.8034,,1161892.0,right,double,
1986,3,1.9,,154236.0,right,,double
1999,4,1.83,,6168.0,left,single,
1987,9,,,74623.0,right,,
1993,3,1.8,,505886.0,,,
1979,2,1.74,,1343285.0,right,double,
1983,4,1.85,,96567.0,right,double,
1989,12,1.79,,17466.0,right,double,
1993,8,1.83,,35989.0,right,double,
1993,11,1.9304,,203023.0,right,double,
1975,7,1.85,,871276.0,right,double,
1987,5,1.9,,374325.0,right,double,
1959,9,,81648.0,128284.0,left,,
1997,6,,,2046.0,right,double,
1965,10,1.8542,,1621535.0,right,double,
1978,6,,,150516.0,,,
1993,2,,,72705.0,right,double,
1988,6,,,19648.0,left,double,double
1972,5,1.83,77000.0,466878.0,right,,
1991,3,1.9304,,81388.0,right,double,
1987,4,1.68,,208422.0,right,double,
1987,12,,,118383.0,,,
1984,2,1.6,52000.0,7818.0,,,
1956,8,1.65,,1145377.0,left,single,
1971,3,2.03,,1309890.0,left,double,
1951,2,1.88,,1063385.0,right,single,
1981,9,,76204.8,121472.0,right,,
1981,1,1.85,,506586.0,right,double,
1980,12,1.78,72000.0,727371.0,left,double,
1975,3,,74844.0,213394.0,right,,
1970,3,1.88,,1807857.0,left,,
1962,2,1.78,,1042224.0,right,double,
1992,8,1.7,,938716.0,right,double,
1979,12,1.93,,179686.0,right,,
1972,9,,77112.0,181755.0,right,,
1980,3,1.85,,139675.0,right,,
1982,6,1.8,71000.0,376578.0,right,double,
1967,8,,,7574.0,,,
1987,8,,,75797.0,right,double,double
1993,7,,,49810.0,right,,
1968,1,1.83,,438529.0,right,,
1992,1,1.71,,474670.0,right,double,
1986,4,1.88,70000.0,1.058564E7,right,double,
1984,10,,,13268.0,left,,
1991,2,1.77,,127325.0,right,double,
1974,4,1.85,,676503.0,right,,
1972,2,1.85,,388546.0,right,,
1986,3,1.8288,,193090.0,left,double,
1992,8,1.7,,133554.0,,,
1995,7,,,20630.0,right,double,
1983,3,1.83,79000.0,102908.0,right,double,
1982,12,1.85,82000.0,4831684.0,right,double,
1986,3,1.8288,,909093.0,right,single,
1993,9,1.85,,2613902.0,right,single,
1978,1,1.82,,7065241.0,right,double,
1981,4,1.98,95000.0,502476.0,right,double,
1989,5,1.6002,58000.0,7002934.0,right,double,
1991,2,1.75,,8449.0,,,
1982,7,,,33015.0,,,
1973,5,1.7,55300.0,2015702.0,right,double,
1996,2,1.66,,6995.0,,,
1968,9,1.905,,2294944.0,left,,
1989,7,1.83,,2826051.0,left,double,
1971,7,,,319367.0,,,
1996,6,1.79,,893527.0,right,double,
1967,9,,,4061.0,right,double,
1963,7,1.8,,40488.0,right,,
1970,8,1.83,68000.0,678432.0,,,
1992,7,1.89,,6176.0,left,double,
1977,8,1.7,,165828.0,right,double,
1989,6,1.86,,436334.0,right,double,
1985,4,1.7526,67000.0,2756926.0,right,single,
1992,2,,,51966.0,right,double,
1984,12,1.96,,1802316.0,right,double,
1990,6,1.8,,1338319.0,right,single,
1988,3,,,273874.0,left,double,
1976,6,1.9,,1281902.0,right,,
1989,3,,,113173.0,right,double,
1963,12,1.8542,,101721.0,right,,
1983,3,1.71,,902005.0,right,double,
1987,2,,,17151.0,right,double,
1991,4,,,37877.0,right,,
1991,3,,,98251.0,,,
1977,2,1.65,60000.0,663958.0,right,double,
1998,8,,,19388.0,,,
1978,1,,,56811.0,,,
1992,5,1.75,,705252.0,right,double,
1963,10,1.8796,,682952.0,right,single,
1981,8,1.72,,1095170.0,right,single,
1990,4,,,99224.0,right,,
1987,3,,,61599.0,right,double,
1961,7,1.8,,1528201.0,left,,
1989,7,1.83,,36126.0,right,double,
1992,11,1.78,,27060.0,right,double,
1987,7,1.96,,1808373.0,right,single,
1969,4,,92988.0,62945.0,right,,
1990,9,1.524,,228962.0,right,double,
1988,7,1.75,,77768.0,left,double,
1996,6,1.91,,13619.0,right,double,
1979,1,1.82,80000.0,389334.0,right,double,
1990,5,1.524,74844.0,517540.0,right,single,
1985,4,1.71,,189599.0,right,single,
1985,8,1.85,,2959985.0,right,double,
1988,11,1.8034,,26466.0,right,double,
1984,5,,,175333.0,right,,
1992,2,1.8288,,69703.0,right,single,
1983,8,1.76,,430086.0,right,double,
1977,2,,,23814.0,right,,
1977,7,1.85,77000.0,223693.0,left,,
1982,1,,,924266.0,left,double,
1972,9,1.91,,1.2200465E7,left,double,
1990,10,,,79676.0,,,
1968,6,1.83,,1000200.0,,,
1990,10,1.8288,,168181.0,right,double,
1971,4,1.9,,4803388.0,right,single,
1983,4,1.81,62000.0,1.030086E7,right,double,
1984,11,,,70031.0,right,double,
1982,11,,,72257.0,right,,
1995,3,,,3760.0,,,
1992,11,1.71,,90732.0,,,
1978,1,1.8,,1742942.0,right,single,
1984,4,1.8,,165585.0,right,,
1972,9,1.8288,71215.2,183355.0,right,,
1987,1,,,99431.0,right,double,
1993,12,1.778,,4964.0,right,double,
1991,5,,,15456.0,right,double,
1996,2,1.98,,24234.0,right,double,
1979,2,,,284128.0,right,,
1997,3,1.83,,3848.0,right,,
1951,2,1.7018,,2016426.0,right,double,
1956,7,1.905,,441869.0,right,,
1981,3,1.8,,300279.0,right,single,
1984,12,1.65,,1225667.0,right,double,
1959,7,1.85,,476094.0,right,,
1992,5,,,46484.0,right,double,
1964,1,1.78,,400093.0,left,single,
1976,2,,79380.0,107359.0,right,,
1972,9,,71215.2,117508.0,right,,
1959,9,1.6,,43441.0,left,,
1986,4,1.83,,1453012.0,right,double,
1990,12,,,97663.0,right,,double
1988,2,,,114172.0,,,
1976,6,1.88,,322221.0,right,,
1992,11,,,69662.0,right,double,
1990,2,,,86122.0,right,double,
1985,6,1.71,,845042.0,right,double,
1986,5,1.68,,274820.0,right,double,
1987,12,,,365669.0,right,double,
1988,6,1.8,65000.0,8621748.0,left,double,
1993,8,,,51817.0,right,double,
1991,12,,,97525.0,,,
1983,8,1.75,,1190893.0,right,double,
1992,3,1.83,71000.0,182796.0,left,double,
1983,3,1.89,72000.0,1987023.0,right,double,
1971,6,,,386215.0,,,
1987,5,1.71,,111293.0,right,double,
1981,10,1.8,64000.0,1.4867437E7,right,double,
1975,9,1.74,,6237556.0,right,double,
1972,5,,,704882.0,,,
1997,11,,,8876.0,right,double,
1976,8,1.7,,861974.0,left,double,
1986,8,1.76,65000.0,6856685.0,right,double,
1982,9,1.82,,2898509.0,right,single,
1996,4,1.83,,290625.0,right,double,
1994,9,1.75,,2498305.0,right,double,
1959,3,1.78,68000.0,1653997.0,right,single,
1983,8,,,63874.0,right,double,
1962,3,,,750831.0,,,
1995,11,,,120012.0,right,double,
1984,1,1.72,,190799.0,left,double,
1990,4,,,237499.0,right,,
1965,8,,,123934.0,left,single,
1963,4,,,1615247.0,,,
1993,3,,,50285.0,right,double,
1996,4,1.76,,341758.0,,,
1985,1,,,47951.0,right,double,
1994,7,1.79,,9460.0,,,
1994,5,,,32757.0,,,
1989,2,1.73,59000.0,31047.0,right,double,
1995,10,1.68,,9131.0,left,double,
1970,2,1.88,,2378295.0,left,,
1968,12,,,1096356.0,,,
1988,8,,,75002.0,left,double,
1970,8,1.78,,1666023.0,right,double,
1992,8,1.78,,28362.0,,,
1973,8,1.83,,269001.0,right,,
1970,4,,,399887.0,left,double,
1987,6,,,44935.0,right,double,
1997,6,,,3063.0,right,double,
1972,11,1.82,,898962.0,right,double,
1991,11,,,108966.0,right,double,
1965,5,1.8,74000.0,5339395.0,right,single,
1995,6,,,4676.0,,,
1991,6,,,20159.0,,,
1982,7,,,64107.0,right,single,
1984,7,1.68,,269237.0,right,double,
1990,10,,,27158.0,,,
1988,2,,,8132.0,,,
1989,5,1.7,,698.0,,,
1986,3,1.64,,493020.0,left,double,
1976,7,1.71,,1739751.0,right,double,
1991,6,,,136219.0,right,double,
1995,3,,,58701.0,right,double,
1985,2,1.8288,83000.0,12287.0,right,,
1994,2,,,205178.0,right,double,
1981,5,1.905,81648.0,1645915.0,left,double,
1958,6,1.78,,3602644.0,left,single,
1965,3,1.8,,1100059.0,right,single,
1982,4,,,156528.0,right,,
1989,1,1.85,,41097.0,right,double,
1981,5,,,106835.0,right,double,
1997,11,,,1947.0,,,
1988,11,1.63,,255845.0,,,
1987,10,,,147913.0,right,double,
1972,10,1.7,,766020.0,right,double,
1995,4,1.88,,12756.0,right,double,
1988,8,1.9,,5768390.0,right,double,
1987,5,,,111512.0,right,,
1987,1,,,65565.0,,,
1993,7,,,12463.0,right,double,
1987,2,1.73,,420130.0,right,double,
1978,11,,,62204.0,,,
1968,5,,,429742.0,right,,
1994,2,1.78,,4689806.0,right,double,
1984,8,,,33394.0,,,
1973,1,1.7,,387864.0,,,
1984,8,1.7,,1131089.0,right,double,
1980,2,1.75,,225826.0,right,double,
1986,5,1.63,,129897.0,right,double,
1981,3,1.8,,181687.0,,,
1984,6,1.91,,446598.0,,,
1966,1,,,123645.0,right,double,
1975,3,1.7,,326219.0,,,
1970,2,,,190543.0,,,
1994,12,,,5418.0,,,
1961,2,,,767709.0,right,,
1991,2,,,44172.0,,,
1971,7,,,278084.0,right,,
1992,3,,,40841.0,left,double,
1989,5,,,69580.0,right,double,
1978,12,1.63,,427801.0,,,
1986,11,1.77,,333645.0,right,double,
1989,2,1.7,51900.0,1045469.0,right,double,
1990,5,1.85,,1193375.0,right,double,
1987,7,1.83,,132060.0,right,double,
1988,2,1.85,,1509207.0,right,double,
1980,5,1.73,,638461.0,right,double,
1951,7,,,1399431.0,right,single,
1977,1,1.83,,172773.0,right,,
1972,12,1.9,,177975.0,right,,
1968,10,1.82,,4278632.0,left,double,
1973,6,1.8,,305428.0,right,,
1955,11,,88452.0,483023.0,right,,
1964,1,1.85,,213185.0,right,single,
1969,11,1.8288,,1248094.0,right,,
1968,4,1.75,,1466830.0,right,double,
1964,8,1.9,,198607.0,right,single,
1970,1,1.73,,1108860.0,left,single,
1984,7,1.88,,388200.0,right,single,
1975,8,1.82,,2504591.0,left,single,
1984,9,1.85,,1675098.0,right,single,
1967,12,,80287.2,37907.0,left,,
1976,9,1.93,86000.0,528378.0,right,double,
1987,9,2.03,,314480.0,right,double,
1976,11,1.93,80000.0,2417037.0,right,double,
1997,2,1.78,,80969.0,right,double,
1981,1,1.83,,142365.0,right,,
1994,11,1.85,83000.0,10968.0,right,double,
1961,8,,,80690.0,right,,
1982,6,,,213411.0,,,
1995,3,,,63950.0,left,double,
1985,3,1.78,70000.0,1400619.0,right,double,
1986,9,,,11939.0,right,double,
1970,7,1.9,,441561.0,right,double,
1983,8,1.9,,863873.0,right,double,
1975,4,,86184.0,126618.0,right,,
1977,3,1.93,,291169.0,right,double,
1969,11,,,31176.0,,,
1942,5,1.83,,609072.0,right,double,double
1960,3,1.96,,608506.0,right,,
1986,3,,,162176.0,right,double,
1970,3,1.83,,513509.0,right,,
1976,4,1.9,83000.0,530673.0,right,double,
1970,10,1.73,68040.0,133362.0,right,,
2000,8,1.88,,4008.0,right,double,
1974,9,1.8,78000.0,5311964.0,right,single,
1988,11,1.78,,121507.0,right,double,
1987,5,1.78,74000.0,7175087.0,right,double,
1979,1,1.72,,1358668.0,right,double,
1986,9,1.98,,293071.0,right,,
1972,12,1.77,,1.0021132E7,right,double,double
1992,8,1.78,,394271.0,right,double,
1990,2,,,575426.0,left,double,
1998,11,,,10019.0,,,
1986,5,1.96,,469010.0,right,,
1989,3,,,46021.0,left,,double
1991,5,1.7,,116151.0,right,double,
1976,4,1.8,,370589.0,right,,
1990,10,1.9,,1795608.0,left,double,
1992,3,,,125390.0,right,double,
1980,1,1.87,,544562.0,right,,
1986,11,,,22423.0,right,single,
1981,9,1.88,,1.1505158E7,left,single,
1981,5,1.75,,76974.0,right,,
1956,12,1.7272,,668104.0,right,,
1992,2,1.72,,24961.0,,,
1988,10,1.66,,52261.0,right,double,
1980,7,1.83,,1.1862276E7,right,single,
1958,4,1.75,,561404.0,right,double,
1971,4,1.8,,2558867.0,left,single,
1989,1,1.8,82000.0,152345.0,right,double,
1983,11,1.88,,1.2319188E7,left,double,
1977,3,1.8,,2917616.0,right,single,
1972,3,1.93,,1503987.0,right,double,
1993,1,1.75,,40186.0,right,double,
1992,2,1.85,,698713.0,right,double,
1994,1,1.8,,118102.0,right,double,
1985,7,1.95,,975899.0,right,double,
1994,12,,,33845.0,right,double,
1996,1,,,8122.0,right,double,
1974,3,,,68926.0,right,,
1981,9,1.83,,3877544.0,right,single,
1990,9,1.8,,31882.0,right,double,
1997,3,1.7,,44564.0,right,double,
1982,2,1.72,,1.4197917E7,right,double,
1983,10,1.73,,1589886.0,right,single,
1969,1,,,425684.0,right,,
1985,10,,,115918.0,right,double,
1988,11,1.64,,209535.0,right,double,
1981,2,1.8,,2895039.0,right,double,
1983,10,1.9,,5464940.0,right,double,
1985,1,1.8,,1152189.0,right,single,
1980,6,1.82,69854.4,1237904.0,right,double,
1998,1,1.88,,140291.0,right,double,
1973,4,,,19061.0,,,
1977,7,1.68,,421264.0,left,double,double
1980,6,1.66,64000.0,1.0578971E7,right,single,
1990,9,1.7018,,25366.0,,,
1981,9,1.75,,254542.0,right,,
1963,2,1.83,,464876.0,right,,
1962,6,1.8288,,370579.0,right,,
1964,12,1.9,,1447455.0,left,single,
1990,11,1.8,,520674.0,right,double,
1974,11,1.85,,1562959.0,right,single,
1978,12,1.75,,6066156.0,right,single,
1986,9,1.93,,9585813.0,right,double,
1982,5,,,0.0,,,
1956,4,1.8288,,1382422.0,right,double,double
1979,8,,,15748.0,right,,
1970,1,1.82,77000.0,351932.0,right,,
1968,1,1.9,,86518.0,right,,
1993,2,1.9,88000.0,3000000.0,right,double,
1988,1,1.65,,111311.0,right,double,
1990,7,,,309324.0,left,double,
1989,1,,,184147.0,,,
1976,3,,,83531.0,right,,
1989,4,1.78,,161099.0,right,single,
1971,12,1.93,,298869.0,right,,
1972,12,1.73,,481369.0,right,single,
1985,5,1.89,,179565.0,right,double,
1987,1,1.91,,350700.0,right,double,
1965,6,1.8,,2272035.0,left,single,
1996,2,1.91,,57994.0,left,double,
1992,2,1.85,,104996.0,right,double,
1957,4,1.83,,325570.0,right,,
1964,2,1.7,65700.0,4681906.0,right,double,
1967,3,1.73,,694271.0,left,single,
1969,3,1.8,,1317163.0,right,single,
1978,3,1.88,,477478.0,right,double,
1983,5,1.93,,3328680.0,left,double,
1984,12,1.83,,1.064838E7,right,double,
1968,9,,,724792.0,right,,
1991,7,1.7,,124490.0,right,double,
1989,1,1.78,69000.0,611.0,left,,
1976,9,1.8,,619170.0,right,single,
1993,10,,,43146.0,,,
1987,6,1.61,,121614.0,right,double,
1988,12,1.71,,2086125.0,right,double,
1970,3,1.8,,613203.0,right,,
1982,1,1.8,,169591.0,right,double,
1975,4,1.93,,319110.0,right,,
1979,9,,,199399.0,right,,
1961,8,1.73,,144450.0,right,,
1976,6,1.75,,344660.0,,,
1993,3,1.64,,92519.0,,,
1992,4,1.75,,438702.0,right,double,
1986,6,,,32208.0,right,double,
1991,9,1.651,,50848.0,right,double,
1970,5,1.75,,8785850.0,right,single,
1981,3,,,58127.0,,,
1996,12,,,1343.0,,,
1992,4,,,34195.0,left,double,
1991,6,1.651,,132472.0,right,double,
1973,12,1.63,,1053309.0,left,single,
1984,1,1.65,,198138.0,left,double,
1984,12,1.83,67000.0,2169264.0,right,double,
1976,10,1.73,,1832691.0,right,single,
1994,5,,,23829.0,right,single,
1993,10,1.82,,6272973.0,right,double,
1983,1,1.93,90000.0,522367.0,right,double,
1985,1,1.7,56000.0,4246105.0,right,double,
1978,4,1.69,,326936.0,right,double,
1987,11,,,149917.0,right,double,
1961,5,1.85,,647475.0,left,double,
1962,6,1.7526,,1081667.0,right,,
1976,4,,79380.0,498614.0,right,,
1975,7,1.53,,448056.0,right,double,
1984,9,1.78,,1524838.0,right,double,
1987,8,1.78,,240198.0,right,,
1989,1,,,43700.0,left,double,
1993,4,,,92536.0,right,double,
1982,7,,,13399.0,,,
1971,9,1.93,,1.9878007E7,left,double,
1964,5,1.8,,1303639.0,right,single,
1982,7,,,136518.0,right,double,
1973,10,,,16319.0,,,
1982,10,,,84908.0,right,double,
1994,5,1.63,,364108.0,right,double,
1993,5,,,10049.0,,,
1965,11,1.8542,,2911097.0,left,single,
1974,1,,74844.0,318037.0,right,,
1975,5,,,142184.0,right,,
1971,5,1.88,,1316633.0,right,,
1978,6,1.9304,,357113.0,right,,
1963,8,1.778,,368690.0,right,double,
1989,1,1.91,,311653.0,right,double,
1973,9,1.8288,90000.0,8944841.0,left,single,
1986,9,1.83,,1123145.0,right,double,
1964,2,,,746628.0,,,
1991,5,1.91,,5950663.0,right,single,
1988,1,1.83,76000.0,160834.0,left,double,
1984,7,,,211502.0,left,single,
1975,4,1.9,,836734.0,right,single,
1979,4,1.8,,1066371.0,right,double,
1994,8,,,31422.0,right,double,
1991,8,1.83,,233798.0,right,double,
1990,5,1.85,,941003.0,left,double,
1992,12,1.83,,344446.0,right,double,
1975,12,,,26278.0,right,,
1970,2,1.8,,2449106.0,right,single,
1990,5,1.88,,716669.0,right,double,
1986,5,,,78873.0,,,
1977,11,1.85,,5285575.0,right,double,
1982,1,1.75,,5817486.0,right,double,
1988,6,,,169579.0,,,
1983,6,1.88,,6192918.0,right,single,
1985,2,1.76,65000.0,104844.0,right,double,
1988,3,1.75,,200047.0,right,double,
1969,10,1.78,,1686459.0,right,single,
1989,2,,,70170.0,right,double,
1952,8,1.8,,4923882.0,left,single,
1968,3,,,87872.0,right,,
1976,9,1.9,,1.4807E7,right,single,
1965,1,1.9,,5669934.0,left,single,
1984,3,1.81,,25216.0,right,double,
1985,7,,,41753.0,right,double,
1970,1,1.88,,214507.0,right,,
1968,4,1.85,,403190.0,right,,
1977,5,1.8,,180996.0,right,,
1972,3,1.88,,1226776.0,right,single,
1973,10,1.75,,3602644.0,left,single,
1988,11,,,49477.0,,,
1991,12,,,44677.0,right,double,
1982,11,1.77,,160372.0,right,double,
1990,10,,,425744.0,right,double,
1990,12,,,102433.0,right,double,
1991,12,,,26503.0,right,double,
1997,6,,,2966.0,right,double,
1992,4,,,18958.0,right,double,
1985,4,1.88,78000.0,2306667.0,left,single,
1966,8,1.8,,1234768.0,left,single,
1985,1,1.93,,3160434.0,right,double,
1968,8,1.75,,1651858.0,right,single,
1991,9,,,21374.0,right,double,
1993,7,,,40036.0,right,double,double
1986,1,1.695,,4016110.0,right,double,double
1992,1,,,138398.0,,,
1996,8,,,38464.0,,,
1988,6,,,102995.0,right,double,
1963,4,,,208560.0,,,
1990,3,,,54547.0,right,double,
1992,3,,,104217.0,right,double,
1978,5,1.8288,81648.0,588523.0,right,single,
1993,6,,,45918.0,right,double,
1991,2,,,29224.0,right,,
1993,1,1.8,,9395.0,right,double,
1978,10,,,80613.0,right,,
1960,1,1.91,,121719.0,right,,
1993,8,,,15742.0,right,double,
1988,9,,,79283.0,right,double,
1989,8,,,50500.0,right,double,
1986,4,1.61,,32679.0,right,double,
1962,6,1.85,,113016.0,right,,
1956,2,1.83,73000.0,740858.0,right,double,double
1988,1,1.83,,258369.0,right,single,
1964,3,1.73,,295886.0,right,,
1962,5,1.78,,325035.0,right,,
1984,10,,,37198.0,right,double,
1959,3,,,36019.0,right,,
1978,8,1.85,77000.0,1579692.0,right,single,
1982,3,,,10689.0,right,,
1952,8,1.68,,1802769.0,right,double,
1989,6,1.88,,113046.0,right,double,
1996,7,,,24033.0,right,double,
1986,1,,87091.2,26134.0,left,,
1992,5,1.7,,1766791.0,right,double,
1973,1,,66679.2,81458.0,right,,
1986,9,1.8,68000.0,268201.0,right,double,
1964,8,,88452.0,36539.0,right,,
1993,7,,,2318.0,,,
1959,2,1.8,,1550007.0,right,single,
1969,11,,,900990.0,right,double,
1965,2,1.88,,6391245.0,right,single,
1975,1,1.88,,1369435.0,right,double,
1969,1,1.83,,923459.0,left,,
1990,6,1.89,,523298.0,right,single,
1992,3,1.85,,192837.0,right,double,
1963,7,1.84,,3440660.0,left,single,
1978,12,1.77,,1742156.0,right,double,
1968,8,1.83,,1693931.0,right,double,
1991,1,,,26037.0,right,double,
1964,2,1.88,,819393.0,right,single,
1969,8,,,321171.0,,,
1992,7,1.65,,57277.0,left,double,double
1990,11,,,65501.0,right,double,
1990,5,1.72,,471743.0,left,double,
1989,6,,,28225.0,,,
1962,2,1.73,,3340959.0,right,single,
1978,4,1.68,,466750.0,right,double,
1953,10,1.9304,,873335.0,right,single,
1984,3,,,114118.0,right,double,
1982,2,,,95816.0,,,
1980,3,1.75,,120966.0,right,,
1976,1,1.83,,108737.0,right,,
1983,7,1.85,,3630505.0,right,double,
1975,4,,76204.8,103002.0,,,
1981,9,1.8,,2496799.0,right,double,
1987,8,1.9,,1944529.0,right,single,
1982,2,,,543833.0,right,double,
1980,12,,,31495.0,right,,
1985,12,,,1006.0,right,,
1946,7,1.82,,2076761.0,right,single,
1985,8,1.93,85730.4,715969.0,right,double,double
1987,9,1.85,,1262069.0,right,double,
1994,1,,,87913.0,,,
1990,8,1.8,79000.0,73005.0,right,,
1996,4,,,13690.0,right,double,
1981,1,1.85,,170734.0,right,,
1990,8,,,14655.0,,,
1996,5,,,100708.0,,,
1996,8,,,9302.0,right,double,
1998,6,1.524,,24332.0,right,double,
1989,12,,,32281.0,,,
1999,1,,,3161.0,right,double,
1990,6,,,120897.0,right,double,
1973,6,1.69,,976039.0,right,single,
1997,5,,,9039.0,,,
1996,4,,,7014.0,,,
1983,4,1.65,,29816.0,right,double,
1996,9,,,21400.0,,,
1978,1,1.88,,222260.0,right,,
1981,6,1.88,85000.0,1234668.0,left,double,
1969,10,,,28324.0,,,
1988,9,1.78,,401329.0,right,double,double
1990,8,1.81,,2357779.0,right,double,
1986,7,,,221183.0,right,double,
1990,5,1.63,61000.0,1176289.0,right,double,
1995,5,1.67,,130941.0,left,double,
1986,1,,,61240.0,right,,double
1995,3,,,38583.0,right,double,
1991,6,1.58,,97632.0,right,double,
1979,11,1.78,,420868.0,right,,
1974,3,1.75,68000.0,2652068.0,right,single,
1989,11,,,558933.0,right,double,
1963,7,1.73,,240274.0,right,,
1982,1,1.7,,972624.0,right,double,
1984,10,1.74,,277228.0,right,double,
1997,6,,,16981.0,,,
1968,12,,,404418.0,right,single,
1992,1,1.72,,139231.0,right,double,
1991,10,,,72898.0,right,,
1966,9,1.69,,804884.0,right,,
1985,4,,,61386.0,left,double,
1983,5,,,67256.0,right,double,
1989,7,1.58,,32019.0,right,double,
1977,8,1.75,,4405867.0,right,double,
1972,11,,74844.0,128779.0,right,,
1982,3,,,110558.0,left,,
1985,1,1.83,83000.0,4737315.0,right,double,
1960,3,1.87,79000.0,2.1262417E7,right,single,
1979,3,1.93,,1.0181121E7,right,single,
1988,1,,,168163.0,right,double,
1988,5,,,26612.0,right,double,
1983,9,1.75,,193921.0,right,double,
1997,5,,,58350.0,,,
1987,3,1.8,68000.0,285185.0,right,double,
1978,12,1.87,,105330.0,right,double,
1983,2,1.7,,3329488.0,left,double,
1990,7,,,10772.0,right,double,
1976,2,1.88,,950068.0,right,double,
1979,2,2.11,,6878711.0,right,single,
1980,11,1.83,,413029.0,right,,
1984,5,1.82,,1015448.0,right,double,
1960,8,1.8,,33382.0,right,,
1988,3,1.75,,84889.0,right,double,
1981,10,1.83,,1208116.0,right,single,
1961,2,,,121975.0,,,
1984,1,1.96,88000.0,430017.0,right,,
1990,11,2.04,91000.0,3390790.0,right,double,
1985,10,1.88,,883773.0,right,single,
1987,10,1.75,68000.0,1131456.0,left,double,
1982,10,1.78,,396681.0,right,double,
1987,11,1.75,63000.0,187373.0,right,double,
1990,8,1.67,,338776.0,right,double,
1994,2,,,298419.0,right,double,
1990,4,1.6,,43859.0,right,,
,,,,62790.0,right,,
1997,6,1.77,,281935.0,,,
1986,2,1.72,,121672.0,right,,
1997,7,,,18150.0,left,double,
1974,7,1.6,56000.0,2534110.0,right,double,
1964,10,1.78,70000.0,798040.0,right,double,
1970,8,1.8542,,1.4034132E7,right,double,
1964,4,1.9304,,3274155.0,right,,
1964,2,1.93,82000.0,1780466.0,right,double,double
1974,9,1.93,90000.0,801553.0,right,single,
1964,8,1.7526,,1834140.0,right,single,
1965,4,1.8,,560131.0,right,,
1952,9,1.77,,8641040.0,left,double,
1985,2,1.78,,1057983.0,right,double,
1975,3,1.9,,7614063.0,right,double,
1978,4,,86184.0,1600503.0,right,double,
1993,7,1.98,,1498978.0,left,double,
1985,4,1.88,,1.6842378E7,right,double,
1960,7,1.83,,1224016.0,right,single,
1982,7,1.98,,1549039.0,right,single,
1963,2,1.87,70000.0,2074947.0,right,double,
1975,6,1.9,,815801.0,right,single,
1979,1,1.7,,140667.0,left,double,
1994,10,1.72,,3997.0,,,
1995,10,,,7747.0,,,
1984,5,,,116884.0,right,double,
1973,9,1.79,,1083908.0,right,double,
1991,2,1.8288,,144856.0,right,double,
1992,4,1.93,,23047.0,right,single,
1972,7,1.96,,504929.0,right,,
1971,9,1.8288,77565.6,247738.0,right,,
1980,3,1.93,,772971.0,left,,
1966,1,1.83,69400.8,335509.0,right,,
1966,3,1.8,,95363.0,right,,
1958,4,1.75,,2383794.0,right,single,
1974,12,1.83,81648.0,444539.0,right,,
1996,3,1.8,,29359.0,right,double,
1974,5,1.85,,717393.0,right,,
1972,6,,,53581.0,,,
1992,2,1.65,,4727.0,,,
1991,5,1.8,,1424333.0,right,double,
1988,8,1.74,,1854810.0,right,double,
1973,3,1.93,,1357700.0,right,,
1989,1,1.88,,510604.0,left,double,
1951,7,1.9,,1214079.0,right,single,
1987,6,,,244150.0,right,double,
1976,10,,72576.0,244696.0,,,
1965,7,,72576.0,51682.0,right,,
1987,2,1.8288,,1056198.0,right,double,
1986,8,1.8288,,401380.0,right,double,
1977,3,1.524,,812633.0,right,double,
1990,1,1.524,68000.0,1017477.0,right,double,
1973,5,,,80021.0,,,
1995,3,1.68,,30990.0,right,double,
1986,2,1.9,,2040492.0,left,double,
1990,4,1.96,,1133677.0,right,double,
1977,6,1.9,,3612179.0,right,double,double
1995,3,,,56625.0,,,
1969,11,1.83,,1404957.0,left,,
1972,8,1.91,,312946.0,left,,
1962,5,1.85,,1285040.0,right,double,
1979,7,1.9,,2153755.0,right,double,
1983,8,1.8,,1419172.0,right,double,
1946,3,1.75,,693197.0,right,single,
1982,1,1.9,,464830.0,right,,
1981,4,1.89,,265469.0,right,double,
1970,4,1.82,73000.0,4347693.0,left,single,
1976,5,,,794420.0,right,double,
1990,7,1.88,,51217.0,right,double,
1996,11,,,55443.0,right,double,
1981,5,,,73001.0,,,
1987,12,1.83,,30331.0,,,
1976,9,1.81,,674203.0,right,double,
1978,10,,,56950.0,,,
1974,6,1.75,65000.0,630096.0,right,double,
1968,10,1.75,,1.1230762E7,right,single,
1993,5,1.68,,952003.0,,,
